Step,Dune,X,Y
11,A01,545.5,174.4
11,A01,770.9,171.4
11,A01,771.9,200.6
29,A01,545.5,174.4
29,A01,747.7,176.5
29,A01,747.7,198.6
33,A01,517.3,173.4
33,A01,733.6,168.4
33,A01,733.6,200.6
33,B01,1043.6,155.3
33,B01,1169.4,179.5
33,B01,1168.4,144.3
40,A01,518.3,175.4
40,A01,707.5,172.4
40,A01,707.5,201.6
40,B01,1038.5,154.3
40,B01,1143.2,178.5
40,B01,1145.2,148.3
50,A01,518.3,175.4
50,A01,683.3,173.4
50,A01,683.3,197.6
50,B01,1031.5,155.3
50,B01,1091.9,174.4
50,B01,1092.9,154.3
57,A01,528.4,173.4
57,A01,666.2,171.4
57,A01,666.2,194.6
87,A01,448.9,177.5
87,A01,575.6,171.4
87,A01,574.6,193.6
87,B02,1174.4,179.5
87,B02,1174.4,148.3
87,B02,978.2,155.3
96,B02,1162.3,179.5
96,B02,1163.0,148.0
96,B02,986.2,152.3
96,C01,942.0,93.0
96,C01,723.0,61.0
96,C01,943.0,45.0
97,A01,448.9,177.5
97,A01,556.0,172.0
97,A01,556.0,193.0
97,C01,932.0,92.0
97,C01,730.0,53.0
97,C01,933.0,43.0
101,B02,1138.0,177.0
101,B02,1138.0,152.0
101,B02,1025.0,155.0
102,B02,1136.0,177.0
102,B02,1136.0,152.0
102,B02,1005.0,156.0
102,C01,925.0,92.0
102,C01,719.0,57.0
102,C01,926.0,36.0
111,A01,448.9,177.5
111,A01,534.0,176.0
111,A01,534.0,191.0
111,B02,1127.0,177.0
111,B02,1127.0,152.0
111,B02,1005.0,156.0
111,C01,869.0,88.0
111,C01,719.0,57.0
111,C01,870.0,39.0
122,A01,392.0,181.0
122,A01,477.0,180.0
122,A01,477.0,199.0
122,B02,1097.0,179.0
122,B02,1098.0,151.0
122,B02,1005.0,156.0
124,B03,1016.0,188.0
124,B03,1016.0,153.0
124,B03,822.0,161.0
133,A01,316.0,184.0
133,A01,461.0,180.0
133,A01,461.0,199.0
133,B03,1016.0,188.0
133,B03,1016.0,153.0
133,B03,822.0,161.0
134,A01,462.0,179.0
134,A01,462.0,198.0
134,A01,324.0,183.0
134,B03,995.0,186.0
134,B03,997.0,150.0
134,B03,802.0,163.0
134,C02,712.0,123.0
134,C02,712.0,54.0
134,C02,458.0,90.0
140,A01,436.0,177.0
140,A01,436.0,198.0
140,A01,324.0,183.0
140,B03,969.0,187.0
140,B03,969.0,157.0
140,B03,802.0,163.0
140,C02,708.0,111.0
140,C02,708.0,54.0
140,C02,425.0,86.0
153,A01,419.0,176.0
153,A01,419.0,196.0
153,A01,307.0,186.0
153,B03,917.0,184.0
153,B03,917.0,157.0
153,B03,835.0,164.0
153,C02,662.0,112.0
153,C02,663.0,56.0
153,C02,425.0,86.0
156,D01,865.0,245.0
156,D01,865.0,230.0
156,D01,712.0,230.0
160,A01,408.0,177.0
160,A01,408.0,195.0
160,A01,273.0,184.0
160,B03,892.0,183.0
160,B03,892.0,158.0
160,B03,800.0,163.0
160,C02,587.0,127.0
160,C02,589.0,79.0
160,C02,355.0,106.0
160,D01,863.0,247.0
160,D01,863.0,230.0
160,D01,705.0,231.0
173,A01,393.0,180.0
173,A01,393.0,198.0
173,A01,273.0,184.0
173,B03,907.0,172.5
173,B03,907.0,144.5
173,B03,769.0,153.5
173,C02,550.0,124.0
173,C02,551.0,83.0
173,C02,339.0,100.0
173,D01,857.0,246.0
173,D01,857.0,230.0
173,D01,705.0,231.0
180,A01,371.0,180.0
180,A01,371.0,197.0
180,A01,273.0,184.0
180,C02,519.0,125.0
180,C02,519.0,90.0
180,C02,286.0,97.0
180,D01,855.0,243.5
180,D01,855.0,229.5
180,D01,705.0,232.5
190,B04,1091.0,81.0
190,B04,1091.0,44.0
190,B04,935.0,45.0
190,C02,479.0,119.0
190,C02,480.0,94.0
190,C02,279.0,93.0
190,D01,828.0,245.0
190,D01,828.0,231.0
190,D01,672.0,228.0
197,B04,1052.0,79.0
197,B04,1053.0,34.0
197,B04,903.0,40.0
197,D01,828.0,245.0
197,D01,828.0,231.0
197,D01,672.0,228.0
200,C02,398.0,127.0
200,C02,398.0,94.0
200,C02,261.0,104.0
205,B04,1012.0,77.0
205,B04,1013.0,35.0
205,B04,845.0,44.0
205,D01,805.0,245.0
205,D01,806.0,231.0
205,D01,672.0,228.0
218,B05,858.0,89.0
218,B05,859.0,36.0
218,B05,689.0,56.0
218,D01,799.0,245.0
218,D01,799.0,231.0
218,D01,672.0,228.0
226,B05,815.0,88.0
226,B05,818.0,33.0
226,B05,619.0,51.0
226,D01,799.0,245.0
226,D01,799.0,231.0
226,D01,672.0,228.0
236,B05,699.0,64.0
236,B05,700.0,22.0
236,B05,452.0,45.0
236,C03,1155.0,140.0
236,C03,1156.0,106.0
236,C03,952.0,119.0
243,B05,668.0,67.0
243,B05,668.0,19.0
243,B05,386.0,46.0
243,C03,1110.0,137.0
243,C03,1110.0,105.0
243,C03,864.0,119.0
248,B05,666.0,93.0
248,B05,668.0,19.0
248,B05,340.0,39.0
248,C03,1080.0,136.0
248,C03,1083.0,109.0
248,C03,810.0,120.0
256,B05,630.0,95.0
256,B05,630.0,14.0
256,B05,296.0,41.0
256,C03,1035.0,140.0
256,C03,1036.0,110.0
256,C03,759.0,123.0
256,D02,744.0,248.0
256,D02,744.0,234.0
256,D02,624.0,228.0
262,B05,593.0,96.0
262,B05,592.0,21.0
262,B05,243.0,41.0
272,B05,523.0,92.0
272,B05,527.0,14.0
272,B05,201.0,37.0
272,D03,669.0,175.0
272,D03,668.0,152.0
272,D03,577.0,155.0
288,B05,500.0,84.0
288,B05,500.0,9.0
288,B05,154.0,38.0
288,D03,669.0,175.0
288,D03,668.0,152.0
288,D03,577.0,155.0
292,B05,460.0,89.0
292,B05,463.0,9.0
292,B05,122.0,36.0
292,D03,662.0,175.0
292,D03,662.0,152.0
292,D03,577.0,155.0
310,A02,528.0,188.0
310,A02,529.0,207.0
310,A02,440.0,195.0
310,B05,389.0,93.0
310,B05,389.0,14.0
310,B05,78.0,40.0
310,D03,640.0,170.0
310,D03,640.0,155.0
310,D03,560.0,157.0
324,A02,517.0,187.0
324,A02,517.0,209.0
324,A02,401.0,196.0
324,B05,356.0,92.0
324,B05,356.0,32.0
